setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium salicylate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tBdah,0.1977,0.2005,298.15,87,1009.99,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.1977,0.2541,298.15,87,1011.62,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.1977,0.2964,298.15,87,1013.25,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.1977,0.3514,298.15,87,1014.53,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.1977,0.3986,298.15,87,1016.19,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.1977,0.4521,298.15,87,1017.62,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.0968,298.15,87,1010.19,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.1484,298.15,87,1013.14,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.1996,298.15,87,1014.71,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.2463,298.15,87,1016.26,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.2964,298.15,87,1017.66,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.3468,298.15,87,1019.16,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.3964,298.15,87,1020.66,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.301,0.442,298.15,87,1022.14,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
