setid,"Temperature, K","MolaLity of N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZrFoU,298.15,0.0587,101,1000.02,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.0688,101,1000.49,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.0792,101,1000.96,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.0894,101,1001.43,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.1,101,1001.92,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.01941,101,996.68,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.02869,101,997.13,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.03876,101,997.61,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.0489,101,998.08,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.0587,101,998.53,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.0688,101,998.99,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.0792,101,999.46,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.0894,101,999.91,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,303.15,0.1,101,1000.38,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.01941,101,995.07,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.02869,101,995.51,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.03876,101,995.98,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.0489,101,996.44,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.0587,101,996.88,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.0688,101,997.33,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.0792,101,997.79,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.0894,101,998.24,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,308.15,0.1,101,998.71,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
