setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eXlVu,298.15,0.5974,100,1061.2,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,298.15,0.7974,100,1060.3,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,298.15,0.9014,100,1059.8,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.05,100,1048.6,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.1017,100,1051.8,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.2001,100,1055.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.301,100,1057.1,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.4993,100,1058,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.5974,100,1057.8,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.7974,100,1057,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,303.15,0.9014,100,1056.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.05,100,1044.2,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.1017,100,1047.6,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.2001,100,1051.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.301,100,1053.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.4993,100,1054.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.5974,100,1054.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.7974,100,1053.8,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,308.15,0.9014,100,1053.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.05,100,1039.7,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.1017,100,1043.3,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.2001,100,1047.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.301,100,1049.6,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.4993,100,1051,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.5974,100,1051,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.7974,100,1050.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
eXlVu,313.15,0.9014,100,1050.2,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
