setid,"Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","MolaLity of L-valine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PMOVD,0.0981,0.0588,298.15,101,1003.24,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.0981,0.1067,298.15,101,1004.52,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.0981,0.148,298.15,101,1005.6,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.0981,0.2054,298.15,101,1007.08,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.0981,0.2454,298.15,101,1008.09,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.0981,0.2804,298.15,101,1008.97,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.0981,0.3441,298.15,101,1010.51,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.0981,0.3735,298.15,101,1011.2,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0,298.15,101,1005.97,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.0329,298.15,101,1007,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.0777,298.15,101,1008.27,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.1169,298.15,101,1009.31,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.1614,298.15,101,1010.45,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.2227,298.15,101,1011.99,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.2733,298.15,101,1013.26,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.3189,298.15,101,1014.36,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.3648,298.15,101,1015.47,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.1952,0.4314,298.15,101,1017.06,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0,298.15,101,1010.5,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.0277,298.15,101,1011.4,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.0726,298.15,101,1012.68,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.1125,298.15,101,1013.71,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.16,298.15,101,1014.92,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.2214,298.15,101,1016.5,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.2512,298.15,101,1017.31,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.3231,298.15,101,1019.03,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.3631,298.15,101,1019.94,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.2963,0.4136,298.15,101,1021.14,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0,298.15,101,1014.7,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.0254,298.15,101,1015.8,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.0797,298.15,101,1017.27,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.1117,298.15,101,1018.06,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.1619,298.15,101,1019.3,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.2201,298.15,101,1020.77,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.2703,298.15,101,1021.92,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.3148,298.15,101,1023.02,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.366,298.15,101,1024.29,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
PMOVD,0.398,0.4137,298.15,101,1025.4,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
