setid,"Temperature, K",Mole fraction of dimethyl sulfoxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nigdc,303.15,0.053,100,1096.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.103,100,1096.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.196,100,1097.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.301,100,1098.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.401,100,1099,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.501,100,1099.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.6,100,1099.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.686,100,1099.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.802,100,1098.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0.899,100,1096.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,1,100,1090.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0,100,1089.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.053,100,1090.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.103,100,1090.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.196,100,1091.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.301,100,1091.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.401,100,1092.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.501,100,1092.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.6,100,1092.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.686,100,1092,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.802,100,1090.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,0.899,100,1087.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,313.15,1,100,1080.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0,100,1083.7,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.053,100,1084.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.103,100,1084.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.196,100,1084.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.301,100,1085.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.401,100,1085.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.501,100,1085.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.6,100,1085.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.686,100,1084.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.802,100,1082,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,0.899,100,1078.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,323.15,1,100,1070.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0,100,1077.7,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.053,100,1078.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.103,100,1078.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.196,100,1078.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.301,100,1078.7,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.401,100,1078.7,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.501,100,1078.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.6,100,1077.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.686,100,1076.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.802,100,1073.7,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,0.899,100,1069.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,333.15,1,100,1060.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0,100,1071.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.053,100,1072,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.103,100,1072.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.196,100,1072.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.301,100,1072.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.401,100,1071.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.501,100,1071.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.6,100,1070.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.686,100,1068.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.802,100,1065.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,0.899,100,1060.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,343.15,1,100,1050.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0,100,1065.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.053,100,1066.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.103,100,1066.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.196,100,1065.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.301,100,1065.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.401,100,1065.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.501,100,1064.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.6,100,1063.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.686,100,1061.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.802,100,1057.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,0.899,100,1051.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,353.15,1,100,1040.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0,100,1060,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.053,100,1060.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.103,100,1060,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.196,100,1059.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.301,100,1059.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.401,100,1058.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.501,100,1057.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.6,100,1055.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.686,100,1053.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.802,100,1048.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,0.899,100,1042.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,363.15,1,100,1029.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0,100,1054.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.053,100,1054.1,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.103,100,1054,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.196,100,1053.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.301,100,1052.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.401,100,1051.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.501,100,1050.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.6,100,1048.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.686,100,1046,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.802,100,1040.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,0.899,100,1033.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,373.15,1,100,1019.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
