setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium salicylate, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mGFtm,0.1989,0.3455,298.15,87,1013.86,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.1989,0.3977,298.15,87,1015.03,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.1989,0.432,298.15,87,1016.46,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.099,298.15,87,1009.75,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.1547,298.15,87,1012.47,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.1997,298.15,87,1014,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.2557,298.15,87,1015.23,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.3,298.15,87,1016.75,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.3477,298.15,87,1017.95,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.3988,298.15,87,1019.24,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.293,0.447,298.15,87,1020.61,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
