setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of L-leucine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UnZvh,0.05,0.0705,303.15,100,999.5,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0808,278.15,100,1004.5,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0808,283.15,100,1004.2,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0808,288.15,100,1003.4,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0808,293.15,100,1002.5,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0808,298.15,100,1001.3,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0808,303.15,100,999.7,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0908,278.15,100,1004.8,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0908,283.15,100,1004.5,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0908,288.15,100,1003.7,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0908,293.15,100,1002.7,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0908,298.15,100,1001.5,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.0908,303.15,100,999.9,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.1013,278.15,100,1005.1,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.1013,283.15,100,1004.8,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.1013,288.15,100,1003.9,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.1013,293.15,100,1003,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.1013,298.15,100,1001.7,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.05,0.1013,303.15,100,1000.2,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
