setid,"Temperature, K","Pressure, kPa","MolaLity of carbon dioxide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DqKhT,343.15,474.1,0.1783,0.0003165,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,343.15,952.8,0.35,0.0003002,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,343.15,1440.2,0.553,0.0002849,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,343.15,1937.6,0.756,0.0002707,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,343.15,2453.7,0.974,0.0002573,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,343.15,2938.6,1.1811,0.0002461,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,343.15,3446.9,1.4241,0.0002344,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,353.15,502,0.1643,0.0003208,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,353.15,987.3,0.334,0.0003053,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,353.15,1440.2,0.492,0.0002925,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,353.15,1907.3,0.672,0.0002794,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,353.15,2419.6,0.86,0.0002671,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DqKhT,353.15,2888.3,1.0373,0.0002567,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
