setid,"Solvent: MolaLity of cetylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZmZQM,0.03,303.15,0.0401,101,997.29,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.0794,101,998.53,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.09931,101,999.15,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.1188,101,999.75,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.13973,101,1000.4,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.15885,101,1000.99,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.1795,101,1001.62,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.19999,101,1002.25,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0,101,994.39,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0.0198,101,995.01,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0.05932,101,996.24,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0.09931,101,997.48,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0.1188,101,998.08,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0.15885,101,999.31,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0.1795,101,999.9,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,308.15,0.19999,101,1000.56,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
