setid,Mole fraction of 3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aZRIK,0.1981,313.15,101.3,1247.9,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.1981,323.15,101.3,1239.1,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.2776,293.15,101.3,1299.3,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.2776,303.15,101.3,1292.2,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.2776,313.15,101.3,1282.9,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.2776,323.15,101.3,1277.3,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.3971,293.15,101.3,1338.7,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.3971,303.15,101.3,1332.5,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.3971,313.15,101.3,1323.1,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.3971,323.15,101.3,1315.9,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.5029,293.15,101.3,1367.5,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.5029,303.15,101.3,1360.6,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.5029,313.15,101.3,1351.2,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.5029,323.15,101.3,1342.6,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.597,293.15,101.3,1389.5,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.597,303.15,101.3,1382,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.597,313.15,101.3,1372.5,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.597,323.15,101.3,1363.9,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.721,293.15,101.3,1414.8,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.721,303.15,101.3,1406.8,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.721,313.15,101.3,1397,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.721,323.15,101.3,1388.3,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.798,293.15,101.3,1429.3,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.798,303.15,101.3,1420.7,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.798,313.15,101.3,1410.9,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.798,323.15,101.3,1402.2,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.89,293.15,101.3,1445.4,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.89,303.15,101.3,1436.5,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.89,313.15,101.3,1426.7,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.89,323.15,101.3,1417.8,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,1,293.15,101.3,1463,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,1,303.15,101.3,1454,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,1,313.15,101.3,1444,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,1,323.15,101.3,1435,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
