setid,"Pressure, kPa",Mole fraction of carbon dioxide,"Temperature, K","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kjqNp,3096.9,0.378,313.15,0.0001527,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,3315.3,0.309,333.15,0.000167,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,3529,0.411,313.15,0.0001466,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,3587.3,0.501,298.15,0.0001288,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,3965.6,0.44,313.15,0.0001411,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,4107,0.358,333.15,0.0001579,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,4115.6,0.538,298.15,0.0001219,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,4600.7,0.569,298.15,0.0001164,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,4630.9,0.48,313.15,0.0001337,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,4917.1,0.4,333.15,0.0001502,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
