setid,"Temperature, K",Mole fraction of diethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nWIlG,333.15,0.6,81.5,1070.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,333.15,0.8,81.5,1069.9,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,333.15,1,81.5,1070.3,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,343.15,0,81.5,1072.4,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,343.15,0.2,81.5,1070,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,343.15,0.4,81.5,1067.1,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,343.15,0.6,81.5,1064.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,343.15,0.8,81.5,1063.6,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,343.15,1,81.5,1063.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,353.15,0,81.5,1066.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,353.15,0.2,81.5,1064.1,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,353.15,0.4,81.5,1061.2,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,353.15,0.6,81.5,1058.6,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,353.15,0.8,81.5,1057.4,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,353.15,1,81.5,1056.6,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
