setid,Mole fraction of sodium bis(fluorosulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AnHVo,0.4,303,101,1550,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.4,313,101,1540,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.4,323,101,1530,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.4,333,101,1520,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.4,343,101,1510,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.4,353,101,1510,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,283,101,1630,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,293,101,1630,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,303,101,1620,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,313,101,1610,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,323,101,1600,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,333,101,1590,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,343,101,1580,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.5,353,101,1570,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,283,101,1710,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,293,101,1700,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,303,101,1690,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,313,101,1680,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,323,101,1670,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,333,101,1660,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,343,101,1650,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.6,353,101,1640,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,283,101,1800,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,293,101,1790,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,303,101,1780,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,313,101,1770,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,323,101,1760,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,333,101,1750,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,343,101,1740,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.7,353,101,1730,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
