setid,"Temperature, K",Mole fraction of triethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yHhMt,303.15,0.0302,101,1024.48,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.0813,101,1024.64,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.117,101,1024.37,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.1733,101,1023.53,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.2751,101,1020.86,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.3189,101,1019.42,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.3865,101,1016.89,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.5133,101,1012.16,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.6561,101,1007.69,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.8181,101,1005.54,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.926,101,1006.58,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.9642,101,1007.74,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,1,101,1009.58,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0,101,1019.25,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.0138,101,1020.18,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.0302,101,1020.47,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.0813,101,1020.35,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.117,101,1019.88,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.1733,101,1018.8,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.2751,101,1015.91,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.3189,101,1014.49,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.3865,101,1011.99,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.5133,101,1007.46,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.6561,101,1003.25,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.8181,101,1000.89,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.926,101,1001.01,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,0.9642,101,1001.75,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,308.15,1,101,1002.61,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0,101,1014.74,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.0138,101,1015.8,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.0302,101,1016.2,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.0813,101,1016.66,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.117,101,1016.4,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.1733,101,1015.69,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.2751,101,1013.39,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.3189,101,1012.13,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.3865,101,1010.15,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.5133,101,1006.1,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.6561,101,1002.5,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.8181,101,1000.41,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.926,101,1000.32,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,0.9642,101,1000.61,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,313.15,1,101,1000.97,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
