setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XkeTc,298.15,0.8997,100,1560.2,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,1,100,1575.4,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0,100,1119.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.0512,100,1185,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.0995,100,1235.9,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.1551,100,1284.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.2007,100,1318.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.2991,100,1378.2,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.4002,100,1425.2,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.4998,100,1461.9,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.6127,100,1495.3,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.7009,100,1516.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.8002,100,1537.4,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,0.8997,100,1555,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,303.15,1,100,1570.2,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0,100,1114.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.0512,100,1180,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.0995,100,1230.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.1551,100,1279.6,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.2007,100,1313.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.2991,100,1373,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.4002,100,1420,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.4998,100,1456.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.6127,100,1490,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.7009,100,1511.6,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.8002,100,1532.2,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,0.8997,100,1549.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,308.15,1,100,1565,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0,100,1109.9,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.0512,100,1175.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.0995,100,1225.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.1551,100,1274.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.2007,100,1308.4,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.2991,100,1367.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.4002,100,1414.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.4998,100,1451.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.6127,100,1484.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.7009,100,1506.3,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.8002,100,1527,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,0.8997,100,1544.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,313.15,1,100,1559.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0,100,1105,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.0512,100,1170.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.0995,100,1220.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.1551,100,1269.3,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.2007,100,1303.2,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.2991,100,1362.6,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.4002,100,1409.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.4998,100,1446.2,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.6127,100,1479.6,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.7009,100,1501.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.8002,100,1521.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,0.8997,100,1539.3,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,318.15,1,100,1554.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0,100,1100,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.0512,100,1165.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.0995,100,1215.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.1551,100,1264.3,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.2007,100,1298.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.2991,100,1357.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.4002,100,1404.4,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.4998,100,1441.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.6127,100,1474.4,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.7009,100,1496,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.8002,100,1516.6,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,0.8997,100,1534.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,323.15,1,100,1549.3,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
