setid,"Solvent: MolaLity of tetradecylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XpOxC,0.01,308.15,0.09996,101,996.57,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0,101,998.91,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.02982,101,999.64,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.03964,101,999.88,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.04965,101,1000.12,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.05954,101,1000.35,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.06966,101,1000.59,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.07933,101,1000.81,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.08906,101,1001.04,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,293.15,0.10005,101,1001.29,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0,101,997.74,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.02982,101,998.46,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.03964,101,998.69,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.04965,101,998.93,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.05954,101,999.16,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.06966,101,999.4,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.07933,101,999.62,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.08906,101,999.85,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,298.15,0.10005,101,1000.1,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0,101,996.28,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.02982,101,996.99,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.03964,101,997.22,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.04965,101,997.45,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.05954,101,997.68,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.06966,101,997.91,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.07933,101,998.13,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.08906,101,998.35,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,303.15,0.10005,101,998.6,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0,101,994.66,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.02982,101,995.35,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.03964,101,995.57,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.04965,101,995.8,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.05954,101,996.02,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.06966,101,996.25,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.07933,101,996.47,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.08906,101,996.68,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.03,308.15,0.10005,101,996.92,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
