setid,"MolaLity of carbon dioxide, mol/kg","Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TUDWK,0.288,343.15,945.9,0.0002842,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.35,323.15,864.3,0.0002735,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.36,333.15,1033.5,0.0002751,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.393,303.15,678.8,0.000265,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.397,343.15,1297.9,0.0002744,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.421,313.15,875.6,0.0002651,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.454,333.15,1287.6,0.0002671,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.484,323.15,1188,0.0002621,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.51,343.15,1651.5,0.000265,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.513,333.15,1451.4,0.0002623,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.539,303.15,925.5,0.0002531,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.6,323.15,1454.2,0.0002532,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.602,313.15,1251.1,0.0002508,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.611,333.15,1711.4,0.0002548,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.628,343.15,2006.1,0.0002561,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.672,303.15,1143.6,0.0002431,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.73,323.15,1762.5,0.000244,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.745,313.15,1525.1,0.0002408,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.748,333.15,2080,0.0002452,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.756,343.15,2410.4,0.0002472,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.811,303.15,1370.5,0.0002338,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.877,313.15,1790,0.0002323,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.881,333.15,2439.4,0.0002367,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.895,323.15,2111.9,0.0002335,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.955,343.15,3024.5,0.0002348,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.975,303.15,1641.4,0.0002238,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.093,323.15,2572.1,0.0002223,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.135,333.15,3074.7,0.0002224,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.141,313.15,2289,0.0002175,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.189,303.15,1964,0.0002123,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.32,313.15,2630.2,0.0002087,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.332,323.15,3083.2,0.0002104,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.42,303.15,2324.5,0.0002014,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.517,313.15,2994.6,0.0002001,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.653,303.15,2664.3,0.0001918,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,1.919,303.15,3049.6,0.0001822,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
