setid,"Mole fraction of N,N-diethylethanolammonium hydrogen diacetate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FHbSL,0.4263,373.15,101,1043.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,278.15,101,1110.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,283.15,101,1106.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,288.15,101,1102.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,293.15,101,1098.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,298.15,101,1094.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,303.15,101,1090.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,308.15,101,1086.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,313.15,101,1082.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,318.15,101,1078.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,323.15,101,1074.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,328.15,101,1070.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,333.15,101,1066.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,338.15,101,1062.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,343.15,101,1058.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,348.15,101,1054.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,353.15,101,1050.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,358.15,101,1046.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,363.15,101,1042.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,368.15,101,1038.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.5275,373.15,101,1034.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,278.15,101,1102.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,283.15,101,1098.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,288.15,101,1094.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,293.15,101,1090.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,298.15,101,1086.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,303.15,101,1082.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,308.15,101,1078.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,313.15,101,1074.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,318.15,101,1070.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,323.15,101,1066.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,328.15,101,1062.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,333.15,101,1058.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,338.15,101,1054.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,343.15,101,1050.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,348.15,101,1046.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,353.15,101,1042.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,358.15,101,1038,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,363.15,101,1033.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,368.15,101,1029.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.6343,373.15,101,1025.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,278.15,101,1092.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,283.15,101,1089.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,288.15,101,1085.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,293.15,101,1081.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,298.15,101,1077.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,303.15,101,1073.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,308.15,101,1069.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,313.15,101,1065.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,318.15,101,1061.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,323.15,101,1057.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,328.15,101,1053.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,333.15,101,1049.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,338.15,101,1045.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,343.15,101,1041.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,348.15,101,1037.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,353.15,101,1033.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,358.15,101,1029.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,363.15,101,1025.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,368.15,101,1020.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.7493,373.15,101,1016.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,278.15,101,1081.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,283.15,101,1077,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,288.15,101,1073,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,293.15,101,1069.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,298.15,101,1065,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,303.15,101,1061,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,308.15,101,1056.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,313.15,101,1052.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,318.15,101,1048.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,323.15,101,1044.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,328.15,101,1040.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,333.15,101,1036.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,338.15,101,1032.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,343.15,101,1028.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,348.15,101,1024.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,353.15,101,1020.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,358.15,101,1015.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,363.15,101,1011.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.8567,368.15,101,1007.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
