setid,"Temperature, K",Mole fraction of propylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rAEnL,298.15,0.2002,100,1019.4,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.2999,100,1014.26,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.401,100,1009.29,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.5069,100,1004.35,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.6109,100,999.65,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.6905,100,996.16,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.8022,100,991.48,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.9022,100,988.07,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.95,100,987.31,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,1,100,986.9,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.109,100,1019.47,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.2002,100,1015.12,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.2999,100,1010.18,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.401,100,1005.38,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.5069,100,1000.58,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.6109,100,996,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.6905,100,992.61,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.8022,100,988.1,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.9022,100,984.81,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,0.95,100,984.07,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,303.15,1,100,983.8,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.109,100,1015.01,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.2002,100,1010.82,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.2999,100,1006.05,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.401,100,1001.43,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.5069,100,996.82,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.6109,100,992.42,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.6905,100,989.14,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.8022,100,984.71,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.9022,100,981.53,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,0.95,100,980.83,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,308.15,1,100,980.7,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.109,100,1010.53,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.2002,100,1006.47,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.2999,100,1001.89,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.401,100,997.43,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.5069,100,992.96,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.6109,100,988.7,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.6905,100,985.53,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.8022,100,981.33,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.9022,100,978.26,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,0.95,100,977.58,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,313.15,1,100,977.6,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.109,100,1006.01,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.2002,100,1002.09,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.2999,100,997.69,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.401,100,993.42,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.5069,100,989.14,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.6109,100,985.1,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.6905,100,982.05,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.8022,100,977.94,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.9022,100,974.98,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,0.95,100,974.34,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,318.15,1,100,974.6,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.109,100,1001.46,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.2002,100,997.66,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.2999,100,993.48,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.401,100,989.4,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.5069,100,985.28,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.6109,100,981.36,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.6905,100,978.44,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.8022,100,974.56,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.9022,100,971.71,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,0.95,100,971.09,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,323.15,1,100,971.5,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.109,100,996.87,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.2002,100,993.17,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.2999,100,989.22,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.401,100,985.35,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.5069,100,981.37,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.6109,100,977.64,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.6905,100,974.86,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.8022,100,971.16,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.9022,100,968.43,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,0.95,100,967.86,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,328.15,1,100,968.4,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.109,100,992.28,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.2002,100,988.69,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.2999,100,984.91,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.401,100,981.23,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.5069,100,977.42,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.6109,100,973.82,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.6905,100,971.19,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.8022,100,967.75,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.9022,100,965.15,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,0.95,100,964.63,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,333.15,1,100,965.3,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
