setid,"Temperature, K",Mole fraction of N-methyldiethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kzAmn,313.15,0.2,81.5,1079.9,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,313.15,0.4,81.5,1068.2,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,313.15,0.6,81.5,1055.2,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,313.15,0.8,81.5,1041.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,313.15,1,81.5,1024.7,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,323.15,0,81.5,1084.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,323.15,0.2,81.5,1073.9,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,323.15,0.4,81.5,1062.1,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,323.15,0.6,81.5,1048.9,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,323.15,0.8,81.5,1034.8,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,323.15,1,81.5,1017.1,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,333.15,0,81.5,1078.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,333.15,0.2,81.5,1067.9,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,333.15,0.4,81.5,1056.1,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,333.15,0.6,81.5,1042.8,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,333.15,0.8,81.5,1028.2,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,333.15,1,81.5,1009.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,343.15,0,81.5,1072.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,343.15,0.2,81.5,1061.9,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,343.15,0.4,81.5,1050.1,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,343.15,0.6,81.5,1036.6,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,343.15,0.8,81.5,1021.5,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,343.15,1,81.5,1001.6,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,353.15,0,81.5,1066.5,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,353.15,0.2,81.5,1056,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,353.15,0.4,81.5,1044.2,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,353.15,0.6,81.5,1030.5,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,353.15,0.8,81.5,1014.9,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,353.15,1,81.5,993.7,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
