setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uwYWc,298.15,6378,0.745,1330,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,318.15,1005,0.156,1387,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,318.15,2046,0.311,1391,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,318.15,3019,0.436,1389,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,318.15,4000,0.528,1397,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,318.15,6033,0.638,1380,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,318.15,8002,0.714,1378,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,1019,0.123,1368,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,2011,0.23,1358,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,2520,0.301,1369,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,3004,0.345,1369,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,4000,0.435,1371,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,5007,0.495,1380,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,6020,0.537,1357,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,7504,0.606,1348,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,10012,0.682,1349,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,12486,0.712,1384,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,338.15,14895,0.728,1387,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
