setid,"MolaLity of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nlXOZ,0.3461,303.15,101.3,1142.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3461,308.15,101.3,1138.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3461,313.15,101.3,1135,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3461,318.15,101.3,1131.3,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3461,323.15,101.3,1127.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3461,328.15,101.3,1123.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,293.15,101.3,1154.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,298.15,101.3,1151.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,303.15,101.3,1147.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,308.15,101.3,1143.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,313.15,101.3,1140,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,318.15,101.3,1136.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,323.15,101.3,1132.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3999,328.15,101.3,1128.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,293.15,101.3,1159.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,298.15,101.3,1155.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,303.15,101.3,1152,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,308.15,101.3,1148.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,313.15,101.3,1144.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,318.15,101.3,1140.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,323.15,101.3,1136.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4498,328.15,101.3,1133.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,293.15,101.3,1163.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,298.15,101.3,1159.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,303.15,101.3,1155.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,308.15,101.3,1152.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,313.15,101.3,1148.3,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,318.15,101.3,1144.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,323.15,101.3,1140.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.4943,328.15,101.3,1136.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
