setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sPjJU,298.15,0.0098,101,1030.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0.0151,101,1030.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0.0214,101,1030.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0.0246,101,1031.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0.0304,101,1031.4,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0.0355,101,1031.7,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0.0415,101,1032,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0.0457,101,1032.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0,101,1020.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0098,101,1021.4,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0151,101,1021.7,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0214,101,1022.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0246,101,1022.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0304,101,1022.5,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0355,101,1022.8,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0415,101,1023.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,308.15,0.0457,101,1023.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0,101,1012,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0098,101,1012.5,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0151,101,1012.8,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0214,101,1013.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0246,101,1013.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0304,101,1013.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0355,101,1013.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0415,101,1014.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,318.15,0.0457,101,1014.4,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
