setid,"Temperature, K",Mole fraction of 1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JENJT,303.15,1,100,1336.2,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0,100,791.4,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.0987,100,927.8,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.1999,100,1026.7,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.2982,100,1097.7,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.3994,100,1154.5,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.499,100,1198.9,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.5993,100,1235.4,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.6979,100,1265.1,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.8009,100,1291.5,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,0.8992,100,1313,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,308.15,1,100,1332,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0,100,787.3,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.0987,100,923.6,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.1999,100,1022.5,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.2982,100,1093.5,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.3994,100,1150.3,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.499,100,1194.7,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.5993,100,1231.2,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.6979,100,1261,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.8009,100,1287.4,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,0.8992,100,1308.8,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,313.15,1,100,1327.8,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0,100,783.1,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.0987,100,919.5,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.1999,100,1018.4,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.2982,100,1089.3,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.3994,100,1146.1,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.499,100,1190.5,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.5993,100,1227,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.6979,100,1256.8,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.8009,100,1283.2,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,0.8992,100,1304.6,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
JENJT,318.15,1,100,1323.6,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcLI,CCCO,propan-1-ol,,,
