setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium L-prolinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uvVgI,298.15,0.0525,85,998.63,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,298.15,0.0626,85,998.92,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,308.15,0,85,994.02,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,308.15,0.0136,85,994.45,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,308.15,0.0217,85,994.7,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,308.15,0.0329,85,995.04,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,308.15,0.044,85,995.37,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,308.15,0.0525,85,995.63,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,308.15,0.0626,85,995.92,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,318.15,0,85,990.21,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,318.15,0.0136,85,990.64,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,318.15,0.0217,85,990.9,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,318.15,0.0329,85,991.24,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,318.15,0.044,85,991.58,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,318.15,0.0525,85,991.84,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,318.15,0.0626,85,992.13,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
