setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qZXqj,318.15,1055,0.185,1441,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,2223,0.323,1437,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,4005,0.471,1407,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,5004,0.528,1392,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,6004,0.575,1374,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,7010,0.621,1356,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,8010,0.664,1366,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,16527,0.731,1385,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,318.15,19966,0.751,1406,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,1009,0.065,1400,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,2002,0.198,1405,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,2508,0.249,1393,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,3007,0.328,1408,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,4008,0.413,1404,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,4999,0.474,1427,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,6006,0.536,1430,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,338.15,7503,0.612,1435,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
