setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium L-alaninate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QMxsr,308.15,0.0204,85,1.3321,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,308.15,0.03,85,1.3323,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,308.15,0.0401,85,1.3326,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,308.15,0.0509,85,1.333,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,308.15,0.0583,85,1.3333,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,318.15,0.0108,85,1.3304,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,318.15,0.0204,85,1.3306,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,318.15,0.03,85,1.3309,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,318.15,0.0401,85,1.3312,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,318.15,0.0509,85,1.3315,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,318.15,0.0583,85,1.3318,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
