setid,"Temperature, K",Mole fraction of ethylene carbonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ibmBo,308.2,0.222,100,1.5385,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,308.2,0.2945,100,1.529,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,308.2,0.3671,100,1.5235,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,308.2,0.4655,100,1.5085,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,308.2,0.6002,100,1.4955,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,308.2,0.7142,100,1.481,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,308.2,0.7981,100,1.466,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,308.2,0.8946,100,1.445,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.106,100,1.5455,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.222,100,1.5345,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.2945,100,1.5275,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.3671,100,1.52,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.4655,100,1.5065,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.6002,100,1.493,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.7142,100,1.4775,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.7981,100,1.4635,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
ibmBo,318.2,0.8946,100,1.4425,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
