setid,"Temperature, K",Mole fraction of 2-amino-2-methylpropan-1-ol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zGEHD,303.15,1,81.5,1.44427,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,313.15,0,81.5,1.49694,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,313.15,0.2,81.5,1.48998,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,313.15,0.4,81.5,1.48047,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,313.15,0.6,81.5,1.46846,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,313.15,0.8,81.5,1.45509,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,313.15,1,81.5,1.44013,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,323.15,0,81.5,1.49388,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,323.15,0.2,81.5,1.48706,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,323.15,0.4,81.5,1.4773,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,323.15,0.6,81.5,1.46524,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,323.15,0.8,81.5,1.45159,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,323.15,1,81.5,1.43627,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,333.15,0,81.5,1.49067,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,333.15,0.2,81.5,1.48392,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,333.15,0.4,81.5,1.47409,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,333.15,0.6,81.5,1.46175,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,333.15,0.8,81.5,1.44783,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,333.15,1,81.5,1.43187,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,343.15,0,81.5,1.48811,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,343.15,0.2,81.5,1.48121,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,343.15,0.4,81.5,1.47108,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,343.15,0.6,81.5,1.45857,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,343.15,0.8,81.5,1.44425,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,343.15,1,81.5,1.42755,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,353.15,0,81.5,1.48513,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,353.15,0.2,81.5,1.47836,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,353.15,0.4,81.5,1.468,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,353.15,0.6,81.5,1.45522,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,353.15,0.8,81.5,1.44077,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,353.15,1,81.5,1.42307,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
