setid,"Temperature, K",Weight fraction of water,Weight fraction of phenol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mVwUZ,293.2,0.9942,0,81.5,1.3331,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0126,0,81.5,1.429,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0132,0.0099,81.5,1.4301,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0144,0.0197,81.5,1.43155,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0155,0.0295,81.5,1.43225,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0165,0.0393,81.5,1.43365,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0173,0.0491,81.5,1.4355,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.019,0.0602,81.5,1.4366,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0203,0.0685,81.5,1.43745,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0225,0.0782,81.5,1.43815,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0263,0.0974,81.5,1.44095,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0357,0.135,81.5,1.44555,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.0412,0.1726,81.5,1.44975,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9187,0.0799,81.5,1.34735,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9278,0.0698,81.5,1.3451,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9376,0.0612,81.5,1.34395,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9471,0.0498,81.5,1.34215,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9565,0.0399,81.5,1.3405,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9657,0.0299,81.5,1.3381,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9751,0.0199,81.5,1.33645,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9845,0.0099,81.5,1.33495,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,298.2,0.9936,0,81.5,1.33295,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0142,0,81.5,1.42645,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0154,0.0098,81.5,1.4276,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0163,0.0197,81.5,1.42895,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0175,0.0295,81.5,1.43015,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0183,0.0392,81.5,1.43105,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0186,0.0491,81.5,1.4325,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0198,0.0602,81.5,1.43345,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0225,0.0684,81.5,1.43515,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0244,0.078,81.5,1.4361,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.0557,0.17,81.5,1.44795,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9276,0.0698,81.5,1.3442,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9368,0.0612,81.5,1.34305,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9456,0.0497,81.5,1.34085,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9548,0.0398,81.5,1.33925,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9638,0.0298,81.5,1.3376,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9728,0.0199,81.5,1.33555,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9821,0.0099,81.5,1.33355,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,308.2,0.9915,0,81.5,1.33205,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
